DEPTH,GR,CALI,BS,DRHO,RHOB,NPHI,RT,DENSITY_RELIABILITY,INTERPRETATION_READY_FLAG,ZONE_CHARACTER,IGR,VSH,PHID_RAW,PHID,PHIE,SW_MODEL,SW,SW_MODEL_VALID,SAND_FLAG,RESERVOIR_FLAG,POSSIBLE_PAY_FLAG
2770.0,11.8811,8.5781,8.5,0.0696,2.3789,0.2459,0.9202,Passed QC,True,Clean,0.1654803313371822,0.1654803313371822,0.1643030303030304,0.1643030303030304,0.13711411040878183,Archie,0.6415775919082294,True,True,True,False
2770.1,15.4223,8.5781,8.5,0.0621,2.3707,0.2429,1.0201,Passed QC,True,Clean,0.2289722809911428,0.2289722809911428,0.16927272727272735,0.16927272727272735,0.13051396479949937,Archie,0.6425412038882475,True,True,True,False
2770.2,14.8822,8.5781,8.5,0.0574,2.373,0.2373,1.0337,Passed QC,True,Clean,0.21928855739233333,0.21928855739233333,0.1678787878787877,0.1678787878787877,0.1310648906680748,Archie,0.6354165288528114,True,True,True,False
2770.3,12.9207,8.5781,8.5,0.0577,2.383,0.2321,0.9842,Passed QC,True,Clean,0.18411984078602933,0.18411984078602933,0.16181818181818178,0.16181818181818178,0.1320242439455334,Archie,0.6461140975962432,True,True,True,False
2770.4,11.425,8.5781,8.5,0.0595,2.3914,0.2275,0.9778,Passed QC,True,Clean,0.15730268583927995,0.15730268583927995,0.1567272727272727,0.1567272727272727,0.13207365178300737,Archie,0.6479644759014976,True,True,True,False
2770.5,11.6034,8.5781,8.5,0.0589,2.3928,0.2233,1.0436,Passed QC,True,Clean,0.1605013088535877,0.1605013088535877,0.15587878787878795,0.15587878787878795,0.13086003840173172,Archie,0.6334597226756464,True,True,True,False
2770.6,11.4303,8.5781,8.5,0.056,2.39,0.2198,1.0854,Passed QC,True,Clean,0.15739771219564672,0.15739771219564672,0.15757575757575745,0.15757575757575745,0.1327736938358374,Archie,0.61152365908918,True,True,True,False
2770.7,11.1553,8.5781,8.5,0.0534,2.3888,0.2186,1.0736,Passed QC,True,Clean,0.15246709936529565,0.15246709936529565,0.15830303030303036,0.15830303030303036,0.13416702645199083,Archie,0.6080133745146309,True,True,True,False
2770.8,9.7933,8.5781,8.5,0.0523,2.3905,0.2196,1.0692,Passed QC,True,Clean,0.12804711872915694,0.12804711872915694,0.15727272727272731,0.15727272727272731,0.1371344076907781,Archie,0.5951024256445007,True,True,True,False
2770.9,10.2068,8.5781,8.5,0.0509,2.3915,0.2204,1.0649,Passed QC,True,Clean,0.1354609674758848,0.1354609674758848,0.1566666666666665,0.1566666666666665,0.13544444842877792,Archie,0.6043045998800325,True,True,True,False
2771.0,11.1275,8.5781,8.5,0.0469,2.3895,0.2195,1.1252,Passed QC,True,Clean,0.15196865923190014,0.15196865923190014,0.15787878787878787,0.15787878787878787,0.1338861601636909,Archie,0.5952479230678738,True,True,True,False
2771.1,11.8848,8.5781,8.5,0.0412,2.3877,0.2166,1.2339,Passed QC,True,Clean,0.1655466704916269,0.1655466704916269,0.15896969696969682,0.15896969696969682,0.13265279292730064,Archie,0.5741078735210114,True,True,True,False
2771.2,12.4633,8.5781,8.5,0.039,2.3941,0.2119,1.2909,Passed QC,True,Clean,0.17591888693656543,0.17591888693656543,0.1550909090909091,0.1550909090909091,0.12780748898965633,Archie,0.5841969532584301,True,True,True,False
2771.3,11.4002,8.5781,8.5,0.0421,2.4087,0.2058,1.301,Passed QC,True,Clean,0.1568580342094883,0.1568580342094883,0.14624242424242415,0.14624242424242415,0.12330312505772748,Archie,0.6048084147563265,True,True,True,False
2771.4,12.4957,8.5781,8.5,0.0473,2.4239,0.1992,1.3531,Passed QC,True,Clean,0.17649980277548677,0.17649980277548677,0.1370303030303029,0.1370303030303029,0.11284448157118925,Archie,0.6523374567224852,True,True,True,False
2771.5,13.4696,8.5781,8.5,0.0507,2.434,0.1938,1.4488,Passed QC,True,Clean,0.19396134399541004,0.19396134399541004,0.13090909090909075,0.13090909090909075,0.1055177876951462,Archie,0.6776013953065926,True,True,True,False
2771.6,11.8949,8.5781,8.5,0.0521,2.4395,0.1929,1.5419,Passed QC,True,Clean,0.1657277584537598,0.1657277584537598,0.12757575757575768,0.12757575757575768,0.1064329132396871,Archie,0.650757022049596,True,True,True,False
2771.7,11.1564,8.5469,8.5,0.054,2.444,0.1899,1.4125,Passed QC,True,Clean,0.15248682181661705,0.15248682181661705,0.12484848484848483,0.12484848484848483,0.1058107361853193,Archie,0.6842107899829438,True,True,True,False
2771.8,10.6177,8.5781,8.5,0.0575,2.4474,0.1901,1.2538,Passed QC,True,Clean,0.14282819951948936,0.14282819951948936,0.12278787878787872,0.12278787878787872,0.10525030713778871,Archie,0.7303808127939078,True,True,True,False
2771.9,10.059,8.5469,8.5,0.0611,2.4458,0.1947,1.2218,Passed QC,True,Clean,0.13281098719833612,0.13281098719833612,0.1237575757575756,0.1237575757575756,0.10732120994793912,Archie,0.7245470215000127,True,True,True,False
2772.0,9.5561,8.5781,8.5,0.063,2.4372,0.1987,1.1898,Passed QC,True,Clean,0.12379424104421416,0.12379424104421416,0.12896969696969704,0.12896969696969704,0.11300399121563111,Archie,0.6946096531187768,True,True,True,False
2772.1,8.9984,8.5781,8.5,0.0616,2.4221,0.2064,1.1356,Passed QC,True,Clean,0.1137949582242622,0.1137949582242622,0.13812121212121212,0.13812121212121212,0.12240371455799433,Archie,0.6524717743310943,True,True,True,False
2772.2,9.4729,8.5781,8.5,0.0564,2.4049,0.2112,1.135,Passed QC,True,Clean,0.12230250654426791,0.12230250654426791,0.14854545454545448,0.14854545454545448,0.1303779731187878,Archie,0.6098333070882397,True,True,True,False
2772.3,11.686,8.5781,8.5,0.0484,2.3929,0.2092,1.2222,Passed QC,True,Clean,0.16198228565281314,0.16198228565281314,0.15581818181818174,0.15581818181818174,0.13057839658100706,Archie,0.5867063547698292,True,True,True,False
2772.4,12.478,8.5781,8.5,0.0394,2.3912,0.199,1.4371,Passed QC,True,Clean,0.1761824506042242,0.1761824506042242,0.15684848484848482,0.15684848484848482,0.12921453441431924,Archie,0.5472054307513862,True,True,True,False
2772.5,11.8691,8.5781,8.5,0.0324,2.4022,0.1828,1.7866,Passed QC,True,Clean,0.16526517732276685,0.16526517732276685,0.15018181818181806,0.15018181818181806,0.12536199336934437,Archie,0.5070042705833928,True,True,True,False
2772.6,9.2446,8.5781,8.5,0.0307,2.4254,0.1672,2.1673,Passed QC,True,Clean,0.1182092014200165,0.1182092014200165,0.1361212121212122,0.1361212121212122,0.12003043234003904,Archie,0.48234288261906527,True,True,True,True
2772.7,8.1531,8.5469,8.5,0.037,2.4555,0.1549,2.1201,Passed QC,True,Clean,0.0986391508588231,0.0986391508588231,0.11787878787878796,0.11787878787878796,0.10625132433815698,Archie,0.5559887600272542,True,True,True,False
2772.8,8.8859,8.5469,8.5,0.0497,2.4815,0.1533,2.0722,Passed QC,True,Clean,0.11177788933911857,0.11177788933911857,0.10212121212121204,0.10212121212121204,0.09070631857355055,Archie,0.6666185920571058,True,True,True,False
2772.9,9.0263,8.5469,8.5,0.0617,2.4918,0.1621,1.6678,Passed QC,True,Clean,0.11429519130777782,0.11429519130777782,0.09587878787878783,0.09587878787878783,0.08492030347582392,Archie,0.7976166765431728,True,True,True,False
2773.0,9.1203,8.5781,8.5,0.065,2.4812,0.1731,1.4944,Passed QC,True,Clean,0.11598056442069782,0.11598056442069782,0.10230303030303034,0.10230303030303034,0.09043786710653713,Archie,0.787487373422421,True,True,True,False
2773.1,9.3922,8.5781,8.5,0.0582,2.4572,0.1847,1.4695,Passed QC,True,Clean,0.12085559579732492,0.12085559579732492,0.11684848484848491,0.11684848484848491,0.10272669159410656,Archie,0.6924832434132535,True,True,True,False
2773.2,8.5102,8.5781,8.5,0.049,2.4364,0.1903,1.4691,Passed QC,True,Clean,0.10504177573779895,0.10504177573779895,0.12945454545454546,0.12945454545454546,0.1158564101226704,Archie,0.6085746545736259,True,True,True,False
2773.3,7.9658,8.5781,8.5,0.0452,2.4284,0.1916,1.4034,Passed QC,True,Clean,0.09528095528382399,0.09528095528382399,0.1343030303030303,0.1343030303030303,0.12150650927824523,Archie,0.5915866526908862,True,True,True,False
2773.4,8.7116,8.5781,8.5,0.0465,2.4288,0.1913,1.3775,Passed QC,True,Clean,0.10865277727973609,0.10865277727973609,0.1340606060606061,0.1340606060606061,0.11949454888831663,Archie,0.6079370451965324,True,True,True,False
2773.5,7.8089,8.5781,8.5,0.0479,2.4287,0.1905,1.3707,Passed QC,True,Clean,0.09246781654534371,0.09246781654534371,0.13412121212121203,0.13412121212121203,0.12171931648394867,Archie,0.5974766524081172,True,True,True,False
2773.6,9.3911,8.5781,8.5,0.0473,2.426,0.19,1.4089,Passed QC,True,Clean,0.1208358733460035,0.1208358733460035,0.1357575757575756,0.1357575757575756,0.11935319052757272,Archie,0.6018897440298174,True,True,True,False
2773.7,10.4061,8.5781,8.5,0.0464,2.4246,0.1907,1.4201,Passed QC,True,Clean,0.13903431706529926,0.13903431706529926,0.13660606060606065,0.13660606060606065,0.11761313026271612,Archie,0.6090516933204092,True,True,True,False
2773.8,11.4876,8.5781,8.5,0.0474,2.4271,0.1928,1.4313,Passed QC,True,Clean,0.15842507261447986,0.15842507261447986,0.13509090909090915,0.13509090909090915,0.11368912200862578,Archie,0.6292025101820283,True,True,True,False
2773.9,11.1156,8.5781,8.5,0.0502,2.4307,0.1957,1.3601,Passed QC,True,Clean,0.15175529816760497,0.15175529816760497,0.13290909090909095,0.13290909090909095,0.11273943218899654,Archie,0.6513083731871937,True,True,True,False
2774.0,9.8968,8.5781,8.5,0.0533,2.431,0.1994,1.2238,Passed QC,True,Clean,0.12990282210348908,0.12990282210348908,0.13272727272727264,0.13272727272727264,0.11548562542990047,Archie,0.6690843369174607,True,True,True,False
2774.1,9.793,8.5781,8.5,0.0548,2.4258,0.2038,1.128,Passed QC,True,Clean,0.12804173987879655,0.12804173987879655,0.13587878787878774,0.13587878787878774,0.11848063146616583,Archie,0.6779975916293763,True,True,True,False
2774.2,7.9634,8.5781,8.5,0.0543,2.4174,0.2075,1.0983,Passed QC,True,Clean,0.09523792448094094,0.09523792448094094,0.1409696969696968,0.1409696969696968,0.12754403561559569,Archie,0.6347583980762002,True,True,True,False
2774.3,7.9779,8.5781,8.5,0.053,2.4102,0.2098,1.1054,Passed QC,True,Clean,0.09549790224835944,0.09549790224835944,0.1453333333333332,0.1453333333333332,0.1314543048732383,Archie,0.6125068628382748,True,True,True,False
2774.4,8.4986,8.5781,8.5,0.0517,2.4063,0.2115,1.1277,Passed QC,True,Clean,0.10483379352386415,0.10483379352386415,0.14769696969696972,0.14769696969696972,0.13221333607165717,Archie,0.6026787994841226,True,True,True,False
2774.5,8.9333,8.5781,8.5,0.0506,2.4057,0.214,1.1434,Passed QC,True,Clean,0.11262774769605907,0.11262774769605907,0.14806060606060603,0.14806060606060603,0.1313848734774865,Archie,0.6025849068322336,True,True,True,False
2774.6,11.6597,8.5781,8.5,0.0492,2.4083,0.2167,1.1917,Passed QC,True,Clean,0.16151073977121957,0.16151073977121957,0.14648484848484838,0.14648484848484838,0.12282597224078551,Archie,0.6345753050450068,True,True,True,False
2774.7,15.5458,8.5781,8.5,0.0483,2.4144,0.2172,1.2406,Passed QC,True,Clean,0.23118657438950047,0.23118657438950047,0.14278787878787869,0.14278787878787869,0.1097772382265658,Archie,0.7017574010892379,True,True,True,False
2774.8,17.7181,8.5781,8.5,0.0493,2.4236,0.2139,1.2555,Passed QC,True,Clean,0.2701348298490336,0.2701348298490336,0.13721212121212117,0.13721212121212117,0.10014634819525985,Archie,0.7699499645960125,True,True,True,False
2774.9,16.8577,8.5781,8.5,0.0528,2.4336,0.2082,1.2703,Passed QC,True,Clean,0.2547082870154552,0.2547082870154552,0.131151515151515,0.131151515151515,0.09774613738779109,Archie,0.7856758233307094,True,True,True,False
2775.0,14.0526,8.5781,8.5,0.0579,2.4404,0.2027,1.2366,Passed QC,True,Clean,0.2044142431957543,0.2044142431957543,0.12703030303030305,0.12703030303030305,0.10106349977343632,Archie,0.7682456034813413,True,True,True,False
2775.1,10.7555,8.5781,8.5,0.0614,2.4393,0.1999,1.1718,Passed QC,True,Clean,0.14529888478502526,0.14529888478502526,0.12769696969696978,0.12769696969696978,0.1091427424095729,Archie,0.7265782441373145,True,True,True,False
2775.2,8.2457,8.5781,8.5,0.0611,2.4292,0.2011,1.1209,Passed QC,True,Clean,0.1002994226700613,0.1002994226700613,0.1338181818181819,0.1338181818181819,0.12039629543906095,Archie,0.6685148676004996,True,True,True,False
2775.3,8.1285,8.5781,8.5,0.0578,2.4144,0.2054,1.0791,Passed QC,True,Clean,0.09819808512927171,0.09819808512927171,0.14278787878787869,0.14278787878787869,0.12876638251123843,Archie,0.6338479422405007,True,True,True,False
2775.4,9.0355,8.5781,8.5,0.0544,2.4015,0.2107,1.0399,Passed QC,True,Clean,0.11446014271882957,0.11446014271882957,0.15060606060606058,0.15060606060606058,0.13336766941477018,Archie,0.6217681476464003,True,True,True,False
2775.5,9.4558,8.5781,8.5,0.053,2.3937,0.2153,1.0234,Passed QC,True,Clean,0.1219959120737261,0.1219959120737261,0.15533333333333332,0.15533333333333332,0.1363833016578812,Archie,0.6118748701090253,True,True,True,False
2775.6,9.3544,8.5781,8.5,0.0526,2.3909,0.2176,1.0621,Passed QC,True,Clean,0.12017786065191666,0.12017786065191666,0.1570303030303031,0.1570303030303031,0.1381587371545991,Archie,0.5923306112429155,True,True,True,False
2775.7,9.3547,8.5781,8.5,0.0511,2.3917,0.2161,1.1126,Passed QC,True,Clean,0.12018323950227704,0.12018323950227704,0.1565454545454544,0.1565454545454544,0.13773131468882524,Archie,0.5806627150495097,True,True,True,False
2775.8,9.627,8.5781,8.5,0.0485,2.3973,0.2111,1.1633,Passed QC,True,Clean,0.12506544267938466,0.12506544267938466,0.15315151515151512,0.15315151515151512,0.1339975531120724,Archie,0.5848959526223689,True,True,True,False
2775.9,10.6491,8.5781,8.5,0.0472,2.4048,0.2051,1.2553,Passed QC,True,Clean,0.14339118585720945,0.14339118585720945,0.14860606060606066,0.14860606060606066,0.1272972613501893,Archie,0.5949758783604285,True,True,True,False
2776.0,11.2518,8.5781,8.5,0.048,2.4111,0.2007,1.3009,Passed QC,True,Clean,0.15419729623121883,0.15419729623121883,0.14478787878787885,0.14478787878787885,0.1224619793517345,Archie,0.6092987485152291,True,True,True,False
2776.1,10.1959,8.5781,8.5,0.0503,2.4152,0.1983,1.2913,Passed QC,True,Clean,0.1352655359127909,0.1352655359127909,0.14230303030303024,0.14230303030303024,0.12305433464707673,Archie,0.6083953028547685,True,True,True,False
2776.2,9.0948,8.5781,8.5,0.0532,2.4167,0.1969,1.2445,Passed QC,True,Clean,0.11552336214006524,0.11552336214006524,0.1413939393939393,0.1413939393939393,0.12505963612892282,Archie,0.6090531797900728,True,True,True,False
2776.3,6.8702,8.5781,8.5,0.0564,2.4157,0.198,1.1484,Passed QC,True,Clean,0.07563739376770537,0.07563739376770537,0.14199999999999985,0.14199999999999985,0.1312594900849857,Archie,0.6018891368132235,True,True,True,False
2776.4,6.613,8.5469,8.5,0.059,2.4115,0.1967,1.1086,Passed QC,True,Clean,0.07102592605873705,0.07102592605873705,0.14454545454545437,0.14454545454545437,0.1342789797787824,Archie,0.5978022436402214,True,True,True,False
